intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
15650000,0.06582267833109018,0.00668032611943484,0.06582267833109018,0.025959597328166707,1.2242811501597444,1.0,0.5787931237152174,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_000003025.6 pig (Sus scrofa),2edac3821d65091319e98478f22e942c,0.00668032611943484,15650000,0,222110000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9480492372114512,0.9064606874724865,0.9272549623419688,0.9480492372114512,False,1916,1916,73807,Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa;unclassified Sus scrofa subspecies/strain
1540000,0.006477119784656797,0.616,0.006477119784656797,0.004173045917053938,2.0,2.0,1.3093073414159542,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_022773925.1 Bacteroidales bacterium,6755bf7391f7b845d4d3b13d009bfa92,0.616,1540000,11,199130000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9059118074096504,0.9905448209365234,0.948228314173087,0.9905448209365234,False,308,21355,73807,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus sp004557565
1500000,0.0063088829071332436,0.78125,0.0063088829071332436,0.03513216903545734,17.286666666666665,16.0,7.419197321064381,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_028725505.1 Christensenellaceae bacterium,cd0ae9eb112f4477dec05d4831f27a7f,0.78125,1500000,12,197630000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.905444454270891,0.9951713021421688,0.95030787820653,0.9951713021421688,False,2593,23948,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855
1490000,0.006266823687752355,0.861271676300578,0.006266823687752355,0.014741149213489235,7.302013422818792,7.0,3.618937324066904,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_022775805.1 Clostridiales bacterium,644ed1c7484e1e78a0ab4ad2bc8f5b26,0.861271676300578,1490000,13,196140000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9053257070146628,0.9970759444112969,0.9512008257129798,0.9970759444112969,False,1088,25036,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__Lentihominibacter sp022775805
1470000,0.006182705248990579,0.6085106382978723,0.006014468371467026,0.00850867803866842,4.391608391608392,4.0,2.6206147921052625,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_012843815.1 Enterococcus cecorum,0a0936b3c0f0cd8f0b78da2b41f8a94c,0.625531914893617,1430000,14,194710000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9050858502184128,0.9908431050572797,0.9479644776378462,0.9908431050572797,False,628,25664,73807,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_E;s__Enterococcus_E cecorum
1390000,0.005846231493943472,0.6847290640394089,0.005846231493943472,0.04286856260246318,22.762589928057555,21.0,11.218293599201449,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_009695905.1 Mogibacterium kristiansenii,ea1ed11570f58bda50bf859a86675e88,0.6847290640394089,1390000,15,193320000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9040933088478977,0.9926013869426059,0.9483473478952518,0.9926013869426059,False,3164,28828,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium_A;s__Mogibacterium_A kristiansenii
1390000,0.005846231493943472,0.486013986013986,0.005846231493943472,0.0036581896026122184,1.9424460431654675,1.0,1.3505649453280992,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_945869015.1 Subdoligranulum variabile,0d9080a8cf4945650efc6781b8b1fc9c,0.486013986013986,1390000,16,191930000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9040933088478977,0.9859521949617875,0.9450227519048426,0.9859521949617875,False,270,29098,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900545545
1370000,0.005762113055181696,0.5982532751091703,0.005762113055181696,0.004132399365913802,2.2262773722627736,2.0,1.2082000893524811,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_022781505.1 Clostridiales bacterium,0b07061b775b293def5bbfe9ceec305f,0.5982532751091703,1370000,17,190560000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.903836423175031,0.9899772118366776,0.9469068175058544,0.9899772118366776,False,305,29403,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp022781505
1380000,0.005804172274562584,0.5524193548387096,0.005762113055181696,0.014741149213489235,7.9416058394160585,8.0,4.1728465723256924,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_945918835.1 uncultured Clostridia bacterium,c218908f9bec139df00c3e97a0571ac2,0.5564516129032258,1370000,18,189190000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9039653222631387,0.988572170769905,0.9462687465165218,0.988572170769905,False,1088,30491,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp945877515
1360000,0.005720053835800807,0.7391304347826086,0.005720053835800807,0.006381508529001314,3.463235294117647,3.0,2.007002770577875,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_028722025.1 Clostridium sp.,f12abc2a4f8f1e434a4bf1347f9f4d64,0.7391304347826086,1360000,19,187830000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.903706598345413,0.9940904545435038,0.9488985264444584,0.9940904545435038,False,471,30962,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__CAG-1024;s__CAG-1024 sp000432015
1310000,0.0055097577388963665,0.4198717948717949,0.0055097577388963665,0.0031297844377904537,1.7633587786259541,1.0,1.0970610361686466,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_037279125.1 Prevotella sp.,88eb091c67901b8a1026be02d7d03525,0.4198717948717949,1310000,20,186520000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9030431038658715,0.9831281498419515,0.9430856268539115,0.9831281498419515,False,231,31193,73807,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975
1190000,0.005005047106325706,0.519650655021834,0.005005047106325706,0.004132399365913802,2.563025210084034,2.0,1.4986753560707748,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_905201335.1 uncultured Muribaculaceae bacterium,44444b28cc114e6d1f990f447f2452e6,0.519650655021834,1190000,21,185330000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9013435520449823,0.9872467558077819,0.9442951539263821,0.9872467558077819,False,305,31498,73807,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001701135
1130000,0.004752691790040377,0.4396887159533074,0.004752691790040377,0.002777514327909277,1.8141592920353982,1.0,1.2087342356788582,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_022772585.1 Clostridiales bacterium,7ed6244218e6bb2512dc406827a1ca63,0.4396887159533074,1130000,22,184200000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9004296702334601,0.984017561898781,0.9422236160661206,0.984017561898781,False,205,31703,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor_A;s__Pseudoflavonifractor_A sp022772585
1090000,0.004584454912516823,0.7218543046357616,0.004584454912516823,0.003780129256032626,2.5596330275229358,2.0,1.661386580515913,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_004557765.1 Clostridiales bacterium,66f55edd6a1d4fa21120bf1f13f65515,0.7218543046357616,1090000,23,183110000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8997935924947901,0.9936295552344968,0.9467115738646434,0.9936295552344968,False,279,31982,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFEL01;s__SFEL01 sp004557245
1050000,0.004416218034993271,0.3903345724907063,0.004416218034993271,0.0025336350210684623,1.7809523809523808,1.0,1.0140062212728507,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_001995055.1 Actinomyces denticolens,420c9ba0e300c9c6e80e2ebbe08ccbed,0.3903345724907063,1050000,24,182060000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8991342055562407,0.981722989392976,0.9404285974746083,0.981722989392976,False,187,32169,73807,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces denticolens
1070000,0.004500336473755047,0.5099009900990099,0.004332099596231494,0.003807226956792716,2.7281553398058254,2.0,5.275321137341607,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_002553995.1 Lactobacillus sp. UMNPBX5,12edce4b2f59fe4dada7634ec5918ee1,0.5297029702970297,1030000,25,181030000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8994669200338969,0.9876177137161943,0.9435423168750456,0.9876177137161943,False,281,32450,73807,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis
1020000,0.004290040376850606,0.2698412698412698,0.004290040376850606,0.001923936753966426,1.392156862745098,1.0,0.8183779119493808,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_039062515.1 Clostridium celatum,a57099479ddef23d3cdadb734b946d41,0.2698412698412698,1020000,26,180010000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8986232981001284,0.9746423137484173,0.9366328059242728,0.9746423137484173,False,142,32592,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium celatum
980000,0.004121803499327052,0.37547892720306514,0.004121803499327052,0.0019645833051065618,1.4795918367346939,1.0,0.731640480418096,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_036792835.1 Bacteroidales bacterium,3d5aa14dc7e07c7e56b62a414fde58f6,0.37547892720306514,980000,27,179030000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8979186779117692,0.9809763574463319,0.9394475176790505,0.9809763574463319,False,145,32737,73807,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000431015
2930000,0.01232335127860027,0.19517102615694165,0.004079744279946164,0.002520086170688417,1.9175257731958764,1.0,1.4118066446624555,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_016791725.1 Escherichia coli,86c3159cee7d373da94f9b996c778d50,0.5895372233400402,970000,28,178060000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9174096633177964,0.9896923657354263,0.9535510145266113,0.9896923657354263,False,186,32923,73807,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
920000,0.0038694481830417226,0.31724137931034485,0.0038694481830417226,0.0019645833051065618,1.576086956521739,1.0,1.1631450585465133,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_034102385.1 Romboutsia timonensis,461b55646d718b3ddda0d6fbb3172a39,0.31724137931034485,920000,29,177140000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8968070231666198,0.9777398810442391,0.9372734521054294,0.9777398810442391,False,145,33068,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis
900000,0.0037853297442799463,0.4734042553191489,0.0037432705248990577,0.002750416627149186,2.2808988764044944,2.0,1.9079300157055548,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_009696175.1 Floccifex porci,80bd22bd3fd2c372e9b8cc68feaab454,0.4787234042553192,890000,30,176250000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8964206194168955,0.9856600404034277,0.9410403299101616,0.9856600404034277,False,203,33271,73807,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Floccifex;s__Floccifex porci
880000,0.0037012113055181696,0.5146198830409356,0.0037012113055181696,0.003211077540070725,2.6931818181818183,2.0,2.232802735991525,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_034100825.1 Eggerthellaceae bacterium,040618424c8c2409f1b739e1c4e767cf,0.5146198830409356,880000,31,175370000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8960257038561731,0.9870584568052024,0.9415420803306878,0.9870584568052024,False,237,33508,73807,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__W1P20-047;s__W1P20-047 sp004555335
880000,0.0037012113055181696,0.3826086956521739,0.0037012113055181696,0.002100071808907014,1.7613636363636365,1.0,0.9533948693272395,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_945874245.1 uncultured Clostridia bacterium,dd31b1680d5b9a533a5511a421fb6f3a,0.3826086956521739,880000,32,174490000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8960257038561731,0.9813382396934373,0.9386819717748052,0.9813382396934373,False,155,33663,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp003522105
880000,0.0037012113055181696,0.5827814569536424,0.0037012113055181696,0.016394108959854756,13.75,13.0,5.51907848039211,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_945615505.1 uncultured Clostridia bacterium,077d6d8ca3dada5ca3d8612e16c09b9c,0.5827814569536424,880000,33,173610000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8960257038561731,0.9894687281921729,0.942747216024173,0.9894687281921729,False,1210,34873,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp004556205
870000,0.0036591520861372815,0.20567375886524822,0.0036591520861372815,0.0015581177937052041,1.3218390804597702,1.0,0.8904893769308763,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_034099045.1 Bilophila wadsworthia,6366ffdf5f1c96289ce642b5fa1cd807,0.20567375886524822,870000,34,172740000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8958249340932634,0.9694667516413723,0.9326458428673179,0.9694667516413723,False,115,34988,73807,d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia
830000,0.003490915208613728,0.29225352112676056,0.003490915208613728,0.0016936062975056567,1.5060240963855422,1.0,0.8694755928996971,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_945931505.1 uncultured Clostridia bacterium,36fe643fea6ee3d4f992448d510fedc4,0.29225352112676056,830000,35,171910000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8949985654802414,0.9761683016089369,0.9355834335445892,0.9761683016089369,False,125,35113,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Ventricola;s__Ventricola sp945928315
780000,0.0032806191117092866,0.5032258064516129,0.0032806191117092866,0.0017071551478857019,1.6153846153846154,1.0,0.8201120816266398,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_945868815.1 uncultured Peptococcaceae bacterium,0cb46e1ff6af7fa439c6d6212febd38c,0.5032258064516129,780000,36,171130000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8939088792838513,0.98662522263684,0.9402670509603457,0.98662522263684,False,126,35239,73807,d__Bacteria;p__Bacillota;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UMGS1590;s__UMGS1590 sp900759105
770000,0.0032385598923283985,0.32217573221757323,0.0032385598923283985,0.0019645833051065618,1.8831168831168832,1.0,2.2154945856547723,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_021531495.1 Anaerovibrio lipolyticus,61b7e3b386ce7dc3ae6837c578577f87,0.32217573221757323,770000,37,170360000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8936827418500697,0.9780358208884996,0.9358592813692846,0.9780358208884996,False,145,35384,73807,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio;s__Anaerovibrio sp900548165
780000,0.0032806191117092866,0.3581395348837209,0.0032385598923283985,0.0025878304225886435,2.4805194805194803,2.0,1.9042699089110624,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_945875105.1 uncultured Clostridia bacterium,7035e1ce9325ce2f0e8d23c095154b4d,0.3627906976744186,770000,38,169590000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8939088792838513,0.9803153584611733,0.9371121188725123,0.9803153584611733,False,191,35575,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp934591815
790000,0.003322678331090175,0.2086720867208672,0.0032385598923283985,0.0017478016990258376,1.6753246753246753,1.0,1.7390963352894233,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_022845655.1 Oscillospiraceae bacterium,751be7710fcbe5b8651034de9b6cfd6a,0.2140921409214092,770000,39,168820000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8941321920405206,0.970229608866035,0.9321809004532778,0.970229608866035,False,129,35704,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas massiliensis
760000,0.00319650067294751,0.21902017291066284,0.00319650067294751,0.0016800574471256115,1.631578947368421,1.0,0.9437063724758478,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_034103725.1 Lachnospiraceae bacterium,cc9674ef8db0dd85e3b9b1677b34a9be,0.21902017291066284,760000,40,168060000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.8934537066216529,0.9706626438394379,0.9320581752305455,0.9706626438394379,False,124,35828,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__SFDP01;s__SFDP01 sp004558185
750000,0.0031544414535666218,0.46875,0.0031544414535666218,0.0034549568469115395,3.4,3.0,1.9798989873223332,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_034114685.1 Eubacterium coprostanoligenes,daff110f588f2cce59bacf69f6a8e2a2,0.46875,750000,41,167310000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.893221697594942,0.985253232138418,0.9392374648666799,0.985253232138418,False,255,36083,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R coprostanoligenes
